Month,Year,Income,Expenses,Marketing_Spend,Number_of_Employees,Month_Year,Profit
Jan,2022,6000,3500,1200,11,Jan 2022,2500
Feb,2022,5500,3400,1300,13,Feb 2022,2100
Mar,2022,5800,3300,1250,12,Mar 2022,2500
Apr,2022,5700,3600,1350,14,Apr 2022,2100
May,2022,6200,3100,1000,10,May 2022,3100
Jun,2022,6400,3200,1100,11,Jun 2022,3200
Jul,2022,6000,3400,1300,13,Jul 2022,2600
Aug,2022,5700,3500,1400,14,Aug 2022,2200
Sep,2022,6500,3100,1000,10,Sep 2022,3400
Oct,2022,6600,3150,1050,10,Oct 2022,3450
Nov,2022,5700,3300,1200,12,Nov 2022,2400
Dec,2022,5800,3600,1500,15,Dec 2022,2200
Jan,2023,6200,3700,1600,16,Jan 2023,2500
Feb,2023,6600,3800,1700,17,Feb 2023,2800
Mar,2023,6800,3900,1800,18,Mar 2023,2900
Apr,2023,7000,4000,1900,19,Apr 2023,3000
May,2023,7200,4100,2000,20,May 2023,3100
Jun,2023,7400,4200,2100,21,Jun 2023,3200
Jul,2023,7600,4300,2200,22,Jul 2023,3300
Aug,2023,7800,4400,2300,23,Aug 2023,3400
Sep,2023,8000,4500,2400,24,Sep 2023,3500
Oct,2023,8200,4600,2500,25,Oct 2023,3600
Nov,2023,8400,4700,2600,26,Nov 2023,3700
Dec,2023,8600,4800,2700,27,Dec 2023,3800
